"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"67","Confidence","2021","2010",0.397174169513484,1,"0.3972","ns","Wilcoxon"
"68","Confidence","2021","2012",0.0322529980002619,1,"0.0323","*","Wilcoxon"
"69","Confidence","2021","2023",0.419453376028454,1,"0.4195","ns","Wilcoxon"
"70","Confidence","2021","2013",0.416666666666667,1,"0.4167","ns","Wilcoxon"
"71","Confidence","2021","2014",0.918484521069359,1,"0.9185","ns","Wilcoxon"
"72","Confidence","2021","2015",0.933333333333333,1,"0.9333","ns","Wilcoxon"
"73","Confidence","2021","2017",0.310143148240121,1,"0.3101","ns","Wilcoxon"
"74","Confidence","2021","2019",0.191394261229073,1,"0.1914","ns","Wilcoxon"
"75","Confidence","2021","2020",0.199186636082666,1,"0.1992","ns","Wilcoxon"
"76","Confidence","2021","2022",0.281039126230686,1,"0.2810","ns","Wilcoxon"
"77","Confidence","2021","2024",0.120425391004495,1,"0.1204","ns","Wilcoxon"
"78","Confidence","2021","2016",0.6,1,"0.6000","ns","Wilcoxon"
"79","Confidence","2021","2011",0.798039215686274,1,"0.7980","ns","Wilcoxon"
"80","Confidence","2021","2018",0.933333333333333,1,"0.9333","ns","Wilcoxon"
"81","Confidence","2010","2012",0.163577395486138,1,"0.1636","ns","Wilcoxon"
"82","Confidence","2010","2023",1,1,"1.0000","ns","Wilcoxon"
"83","Confidence","2010","2013",0.533333333333333,1,"0.5333","ns","Wilcoxon"
"84","Confidence","2010","2014",0.367141091471564,1,"0.3671","ns","Wilcoxon"
"85","Confidence","2010","2015",0.6,1,"0.6000","ns","Wilcoxon"
"86","Confidence","2010","2017",0.0556720927961067,1,"0.0557","ns","Wilcoxon"
"87","Confidence","2010","2019",0.650724094966573,1,"0.6507","ns","Wilcoxon"
"88","Confidence","2010","2020",0.624356255627582,1,"0.6244","ns","Wilcoxon"
"89","Confidence","2010","2022",0.632172645911064,1,"0.6322","ns","Wilcoxon"
"90","Confidence","2010","2024",0.283396571605374,1,"0.2834","ns","Wilcoxon"
"91","Confidence","2010","2016",0.4,1,"0.4000","ns","Wilcoxon"
"92","Confidence","2010","2011",0.784641445511011,1,"0.7846","ns","Wilcoxon"
"93","Confidence","2010","2018",1,1,"1.0000","ns","Wilcoxon"
"94","Confidence","2012","2023",0.19893745420863,1,"0.1989","ns","Wilcoxon"
"95","Confidence","2012","2013",0.956521739130435,1,"0.9565","ns","Wilcoxon"
"96","Confidence","2012","2014",0.0418400067378135,1,"0.0418","*","Wilcoxon"
"97","Confidence","2012","2015",0.695652173913043,1,"0.6957","ns","Wilcoxon"
"98","Confidence","2012","2017",0.00297671522547699,0.51,"0.0030","**","Wilcoxon"
"99","Confidence","2012","2019",0.299470785554672,1,"0.2995","ns","Wilcoxon"
"100","Confidence","2012","2020",0.270311555864316,1,"0.2703","ns","Wilcoxon"
"101","Confidence","2012","2022",0.229241650209846,1,"0.2292","ns","Wilcoxon"
"102","Confidence","2012","2024",0.536634262400308,1,"0.5366","ns","Wilcoxon"
"103","Confidence","2012","2016",0.260869565217391,1,"0.2609","ns","Wilcoxon"
"104","Confidence","2012","2011",0.351705685618729,1,"0.3517","ns","Wilcoxon"
"105","Confidence","2012","2018",0.695652173913043,1,"0.6957","ns","Wilcoxon"
"106","Confidence","2023","2013",0.589473684210526,1,"0.5895","ns","Wilcoxon"
"107","Confidence","2023","2014",0.383790099266846,1,"0.3838","ns","Wilcoxon"
"108","Confidence","2023","2015",0.842105263157895,1,"0.8421","ns","Wilcoxon"
"109","Confidence","2023","2017",0.0732128996467964,1,"0.0732","ns","Wilcoxon"
"110","Confidence","2023","2019",0.637873242501192,1,"0.6379","ns","Wilcoxon"
"111","Confidence","2023","2020",0.674653565538759,1,"0.6747","ns","Wilcoxon"
"112","Confidence","2023","2022",0.819284318181033,1,"0.8193","ns","Wilcoxon"
"113","Confidence","2023","2024",0.32796622354342,1,"0.3280","ns","Wilcoxon"
"114","Confidence","2023","2016",0.442105263157895,1,"0.4421","ns","Wilcoxon"
"115","Confidence","2023","2011",0.837457279562543,1,"0.8375","ns","Wilcoxon"
"116","Confidence","2023","2018",0.947368421052632,1,"0.9474","ns","Wilcoxon"
"117","Confidence","2013","2014",0.470588235294118,1,"0.4706","ns","Wilcoxon"
"118","Confidence","2013","2015",0.666666666666667,1,"0.6667","ns","Wilcoxon"
"119","Confidence","2013","2017",0.0147058823529412,1,"0.0147","*","Wilcoxon"
"120","Confidence","2013","2019",0.797101449275362,1,"0.7971","ns","Wilcoxon"
"121","Confidence","2013","2020",0.860504201680672,1,"0.8605","ns","Wilcoxon"
